Codes,Source
excitement about smartwatch,p009-parent
self-regulation skills,p009-parent
Brain function and self-awareness,p009-parent
Impact on organizational skills,p009-parent
School schedule reminders,p009-parent
Distance learning support,p009-parent
Physical activity tracking and motivation,p009-parent
Enjoyment and sense of accomplishment,p009-parent
Calendar reminders,p009-parent
Son's watch usage,p009-parent
Waterproof feature,p009-parent
Personal usage of smartwatch,p009-parent
Familiarity with smartwatch,p009-parent
Concerns about watch breaking,p009-parent
Concerns about limited access to features,p009-parent
Tracking location,p009-parent
GPS feature,p009-parent
Phone usage,p009-parent
Concerns about the phone,p009-parent
Expectations about the watch app,p009-parent
Son's excitement about smartwatches,p009-parent
Initial setup of the watch,p009-parent
Son's current satisfaction with the watch,p009-parent
Interviewee's role in the use of the smartwatch,p009-parent
Most useful part of the watch,p009-parent
Accessibility of the watch,p009-parent
Potential distractions from the watch,p009-parent
Phone installation process,p009-parent
Device compatibility (iPhone or Android),p009-parent
Timeline for device setup,p009-parent
Communication via email,p009-parent
GPS setup on the watch,p009-parent
Adding additional applications to the watch,p009-parent
Password protection and parental control,p009-parent
Finalizing the setup process,p009-parent
Follow-up communication via email,p009-parent
Calendar updates,p009-parent
Exercise and reading,p009-parent
Summer calendar,p009-parent
Study and app updates,p009-parent
Daily/weekly goals,p009-parent
To-do list,p009-parent
Notification and rewards,p009-parent
Focus and attention,p003-parent
Communication and relationships,p003-parent
Organizational skills,p003-parent
Physical activity monitoring,p003-parent
Monitoring usage,p003-parent
Role in the study,p003-parent
Useful features of smartwatch,p003-parent
Less useful features of smartwatch,p003-parent
Motivating kids to wear the smartwatch,p003-parent
Impact on behavior,p003-parent
Distraction or not,p003-parent
Smartwatch as a watch,p003-parent
Potential for assisting child development,p003-parent
Technology usage,p003-parent
Phone connectivity,p003-parent
Expectations about the watch,p003-parent
Sleep pattern tracking,p003-parent
Changing the band,p003-parent
Son's interest in smartwatches,p003-parent
Son's excitement upon receiving the smartwatch,p003-parent
Lack of usefulness of the smartwatch,p003-parent
Role in the use of the smartwatch,p003-parent
Son's wearable device usage patterns,p003-parent
Son's initial excitement and subsequent disinterest in the smartwatch,p003-parent
Desire for additional features and functionalities,p003-parent
Familiarity with smartwatches prior to the study,p003-parent
Lack of safety concerns,p003-parent
Son's usage of the smartphone,p003-parent
Study participation,p003-parent
Communication between kids,p003-parent
Walkie-talkie app,p003-parent
Concerns about other kids,p003-parent
Introduction to wearable devices,p003-parent
Potential issues with introduction,p003-parent
Future information and updates,p003-parent
Physical activity during shutdown,p003-parent
Challenges of kids being shut at home,p003-parent
Lack of enthusiasm for wearable device usage,p003-parent
Personalization of application,p003-parent
Using phone or watch on wifi,p003-parent
Internet responsibility and downloading inappropriate things,p003-parent
App for parent side,p003-parent
Phone usage,p003-parent
Smartwatch features,p003-parent
Token system and rewards,p003-parent
Password access and control,p003-parent
Trying different bands for the smartwatch,p003-parent
Monitoring sleep patterns,p003-parent
Getting buy-in for wearing the smartwatch,p003-parent
Graduation and school timeline,p003-parent
Next session and school start date,p003-parent
Delivering phones to school,p003-parent
Distance learning challenges,p001-parent
Sensory issues with wearing a smart watch,p001-parent
Preference for phone notifications over smart watch,p001-parent
Uncomfortable with wearing anything on the wrist,p001-parent
Distracted by wearing a watch on the wrist,p001-parent
Exploring alternative bands for the smart watch,p001-parent
Suggestion for technology to be on the phone instead of a watch,p001-parent
Customizable software for individual comfort and preference,p001-parent
Smart watch distraction,p001-parent
User-friendly software,p001-parent
Tracking physical activity,p001-parent
Interest in heart rate monitoring,p001-parent
Continued interest in physical activity tracking,p001-parent
Smart watch usage patterns,p001-parent
Distance learning and smart watch usage,p001-parent
Summer break and not using the watch,p001-parent
Child's preference for phone over watch,p001-parent
Familiarity with smart watches,p001-parent
Concerns about wearing the watch,p001-parent
Phone usage,p001-parent
Concerns about the phone,p001-parent
Expectations of the watch,p001-parent
Meeting expectations,p001-parent
Limitations of the watch,p001-parent
Initial excitement of receiving the watch,p001-parent
Role in the use of the watch,p001-parent
Feelings about serving in that role,p001-parent
Most useful part of the smart watch,p001-parent
Keeping in touch,p001-parent
Delivery schedule,p001-parent
Time preference,p001-parent
Saturday availability,p001-parent
Communication with Arian,p001-parent
Gratitude,p001-parent
Farewell,p001-parent
Next stage explanation,p001-parent
Phone application for parents,p001-parent
Watch application for kids,p001-parent
Setting goals and tasks,p001-parent
Tokens and rewards,p001-parent
Watch and phone logistics,p001-parent
Program start date,p001-parent
Installation and notification process,p001-parent
Continuing with the project,p001-parent
Smart watch applications,p001-parent
Installing applications,p001-parent
Supervision for installing applications,p001-parent
Basics of the smart watch,p001-parent
Kid's school and calendar updates,p001-parent
Learning to update calendar,p001-parent
Videos for learning,p001-parent
Independence and learning,p001-parent
Pickup time and security,p001-parent
