Developmental Skills,Other,23,Development of skills different of attention or hand-eye coordination such as speech ,"""I have nothing but great things to say about this app. I am a speech pathologist and work with children! This app has provided a wonderful tool for language modeling wether I am modeling new vocabulary to adjectives and verbs. It’s so simple for small children to use and navigate. I would love to make suggestions in the future for adding! Zoo or additional animals along with face decorations for emotions."""
Competence,Reinforcement,24,Practice and repetition to build and improve skills or understanding.,"""We found the app to help build a foundation for our toddler's learning and we enjoy the games and challenges and the library to hone particular skills"" (Khan Academy Kids)"
Competence,Self Mastery/Growth,25,"Encouragement that builds confidence, independence, and achievement.","""My kindergartener is applying things she's learning at school, but also strengthening these skills with the help of this app"" (Khan Academy Kids)"
Montessori Analogies,Montessori,26,"Child-led, hands-on learning focused on independence and exploration.","""My 2.5 year old attends a Montessori school and this is accurate to Montessori Philosophy with the illustrations and it being fun without being too stimulating"" (Pok Pok)"
External,Wifi,27,The need for internet connectivity to access content or features.,"""The problem is that most activities are loaded from servers and even if you have a very fast connection; the servers are overwhelmed and may lead to having to wait 20 minutes to connect"" (Khan Academy Kids)"
External,Cost,28,The financial expense associated with accessing or using an app or activity.,"""Great and easy game to play but I wish there was more that was free"" (Toddle Games for 2 Year Olds)"
Main Outcome,Engaging/Fun,29,Content that captures interest and feels enjoyable while learning.,"""There are so many layers to this game, so many interactive things to do, and within those activities and themes are even more activities. Endless fun and learning"" (Montessori Preschool Kids 3-7)"
Main Outcome,Education,30,Activities designed to teach knowledge or skills.,"""Got this app for our 2 year old since it is a fun, educational alternative to other apps. I love that this app is something that will grow with her and our younger boys can use too"" (Pok Pok)"
Main Outcome,Travel,31,Content or features tailored for use while on-the-go.,"""This app engages my child with a lot of Montessori activities that we have at home. It makes travel a lot easier since we don't have to pack all of his favorite toys"" (Pok Pok)"
Main Outcome,Quality Screen Time,32,Screen activities that are both enjoyable and educationally valuable.,"""My son does not normally get a lot of screen time but this app helps my son learn so he gets more screen time because of how good this app is"" (ABC Kids Tracing Phonics)"
Main Outcome,Other,33,Miscellaneous elements or features not categorized elsewhere.,
