Speaker,Text,Context,filename,Summary
S1,Right. You're actually correct. Would you mind handing me the - I'm sorry - the Post-,Okay. So I guess the first thing if I'm looking for the impact of the Burmese python will,Cataldo-etal_G27_Transcript,Okay. So I guess the first thing if I'm looking for the impact of the Burmese python will
S2,"Well, first Wikipedia. For one, it's like the first thing that's not an ad, and I generally",Right. You're actually correct. Would you mind handing me the - I'm sorry - the Post-,Cataldo-etal_G27_Transcript,Right. You're actually correct. Would you mind handing me the - I'm sorry - the Post-
S1,"Oh, I'm sorry. We have it there because we don't want you to hit that back button.","Well, first Wikipedia. For one, it's like the first thing that's not an ad, and I generally",Cataldo-etal_G27_Transcript,"Well, first Wikipedia. For one, it's like the first thing that's not an ad, and I generally"
S2,I went back before. That's [inaudible].,"Oh, I'm sorry. We have it there because we don't want you to hit that back button.",Cataldo-etal_G27_Transcript,"Oh, I'm sorry. We have it there because we don't want you to hit that back button."
S1,There it is.,I went back before. That's [inaudible].,Cataldo-etal_G27_Transcript,I went back before. That's [inaudible].
S2,"But it does seem like it might be useful. Ideally, I try to avoid blogs and articles, and",There it is.,Cataldo-etal_G27_Transcript,There it is.
S1,"And just remember that it's recording your voice, so try to speak up.","But it does seem like it might be useful. Ideally, I try to avoid blogs and articles, and",Cataldo-etal_G27_Transcript,"But it does seem like it might be useful. Ideally, I try to avoid blogs and articles, and"
S2,"Oh, sorry. So, basically anything that's a scientific paper or something that I can","And just remember that it's recording your voice, so try to speak up.",Cataldo-etal_G27_Transcript,"And just remember that it's recording your voice, so try to speak up."
S1,And can you talk --,"Oh, sorry. So, basically anything that's a scientific paper or something that I can",Cataldo-etal_G27_Transcript,"Oh, sorry. So, basically anything that's a scientific paper or something that I can"
S2,"[crosstalk] predators. So the next one is invasive predators, on [topic four?]. That",And can you talk --,Cataldo-etal_G27_Transcript,And can you talk --
S1,You could talk about why that's what you want.,"[crosstalk] predators. So the next one is invasive predators, on [topic four?]. That",Cataldo-etal_G27_Transcript,"[crosstalk] predators. So the next one is invasive predators, on [topic four?]. That"
S2,"Because, yeah, it's talking about the invasion impact of this specific species that I'm",You could talk about why that's what you want.,Cataldo-etal_G27_Transcript,You could talk about why that's what you want.
S1,So that's 10?,"Because, yeah, it's talking about the invasion impact of this specific species that I'm",Cataldo-etal_G27_Transcript,"Because, yeah, it's talking about the invasion impact of this specific species that I'm"
S2,Okay. So I click continue. Everglades Under Attack [inaudible]. Doesn't sound very,So that's 10?,Cataldo-etal_G27_Transcript,So that's 10?
S1,Okay. That's 15. So five more.,Okay. So I click continue. Everglades Under Attack [inaudible]. Doesn't sound very,Cataldo-etal_G27_Transcript,Okay. So I click continue. Everglades Under Attack [inaudible]. Doesn't sound very
S2,"So next, Commonly-Kept Snake Species and Husbandry, including husbandry-related",Okay. That's 15. So five more.,Cataldo-etal_G27_Transcript,Okay. That's 15. So five more.
S1,"Mm-hmm. Well, and the question is just asking to identify ones that would be useful.","So next, Commonly-Kept Snake Species and Husbandry, including husbandry-related",Cataldo-etal_G27_Transcript,"So next, Commonly-Kept Snake Species and Husbandry, including husbandry-related"
S2,I know. So I guess this would be useful. Sure. Pythons Squeeze Out Local Species in,"Mm-hmm. Well, and the question is just asking to identify ones that would be useful.",Cataldo-etal_G27_Transcript,"Mm-hmm. Well, and the question is just asking to identify ones that would be useful."
S1,Is this is based on the title or --?,I know. So I guess this would be useful. Sure. Pythons Squeeze Out Local Species in,Cataldo-etal_G27_Transcript,I know. So I guess this would be useful. Sure. Pythons Squeeze Out Local Species in
S2,Yeah. It's jstor.org.,Is this is based on the title or --?,Cataldo-etal_G27_Transcript,Is this is based on the title or --?
S1,JStor?,Yeah. It's jstor.org.,Cataldo-etal_G27_Transcript,Yeah. It's jstor.org.
S1,Okay. One more.,JStor?,Cataldo-etal_G27_Transcript,JStor?
S2,"And it's also paper. And last but least -- [inaudible] last page. From the cover, Severe",Okay. One more.,Cataldo-etal_G27_Transcript,Okay. One more.
S1,"Okay. So if you scroll down to the bottom and hit the next button, we'll go to the next","And it's also paper. And last but least -- [inaudible] last page. From the cover, Severe",Cataldo-etal_G27_Transcript,"And it's also paper. And last but least -- [inaudible] last page. From the cover, Severe"
S2,So next?,"Okay. So if you scroll down to the bottom and hit the next button, we'll go to the next",Cataldo-etal_G27_Transcript,"Okay. So if you scroll down to the bottom and hit the next button, we'll go to the next"
S1,"Yes, so next. Okay. So what you're going to see here are a list of the items you did --",So next?,Cataldo-etal_G27_Transcript,So next?
S2,Okay. So the first thing is a Wikipedia article. I wouldn't cite this because you don't,"Yes, so next. Okay. So what you're going to see here are a list of the items you did --",Cataldo-etal_G27_Transcript,"Yes, so next. Okay. So what you're going to see here are a list of the items you did --"
S1,And then scroll down. Yeah.,Okay. So the first thing is a Wikipedia article. I wouldn't cite this because you don't,Cataldo-etal_G27_Transcript,Okay. So the first thing is a Wikipedia article. I wouldn't cite this because you don't
S2,Next: Building Realistic Assemblages with a Joint Species. It's a paper. Would cite.,And then scroll down. Yeah.,Cataldo-etal_G27_Transcript,And then scroll down. Yeah.
S1,So is it because of the topic?,Next: Building Realistic Assemblages with a Joint Species. It's a paper. Would cite.,Cataldo-etal_G27_Transcript,Next: Building Realistic Assemblages with a Joint Species. It's a paper. Would cite.
S2,"Yes. And it's interesting, but it's not exactly related. So it's not something I would cite.",So is it because of the topic?,Cataldo-etal_G27_Transcript,So is it because of the topic?
S1,Yeah.,"Yes. And it's interesting, but it's not exactly related. So it's not something I would cite.",Cataldo-etal_G27_Transcript,"Yes. And it's interesting, but it's not exactly related. So it's not something I would cite."
S2,Predators in Training: Operant Conditions of Novel Behavior. I feel like this is,Yeah.,Cataldo-etal_G27_Transcript,Yeah.
S1,Because it's a bit off the topic or for other reasons?,Predators in Training: Operant Conditions of Novel Behavior. I feel like this is,Cataldo-etal_G27_Transcript,Predators in Training: Operant Conditions of Novel Behavior. I feel like this is
S2,"It's not entirely directly related, but it's related enough that I can talk about it in a",Because it's a bit off the topic or for other reasons?,Cataldo-etal_G27_Transcript,Because it's a bit off the topic or for other reasons?
S2,"Next, the thesis. Evaluating the Impact of Burmese Pythons is exactly what I want to","It's not entirely directly related, but it's related enough that I can talk about it in a",Cataldo-etal_G27_Transcript,"It's not entirely directly related, but it's related enough that I can talk about it in a"
S1,Okay. So go ahead and click -- there should be a submit button again at the bottom. So,"Next, the thesis. Evaluating the Impact of Burmese Pythons is exactly what I want to",Cataldo-etal_G27_Transcript,"Next, the thesis. Evaluating the Impact of Burmese Pythons is exactly what I want to"
S2,"Okay, so the first three, NPR --",Okay. So go ahead and click -- there should be a submit button again at the bottom. So,Cataldo-etal_G27_Transcript,Okay. So go ahead and click -- there should be a submit button again at the bottom. So
S1,There's one at the top there. Yeah.,"Okay, so the first three, NPR --",Cataldo-etal_G27_Transcript,"Okay, so the first three, NPR --"
S2,"OH. The first one's an ad. I don't look at ads. I just ignore them, by definition.",There's one at the top there. Yeah.,Cataldo-etal_G27_Transcript,There's one at the top there. Yeah.
S1,Okay.,"OH. The first one's an ad. I don't look at ads. I just ignore them, by definition.",Cataldo-etal_G27_Transcript,"OH. The first one's an ad. I don't look at ads. I just ignore them, by definition."
S2,I just don't even look at them. There's mostly content that might not exactly be what I,Okay.,Cataldo-etal_G27_Transcript,Okay.
S2,YouTube video I don't care about. What else? Poster Identification of Sex Specific DNA,I just don't even look at them. There's mostly content that might not exactly be what I,Cataldo-etal_G27_Transcript,I just don't even look at them. There's mostly content that might not exactly be what I
S1,"Okay. So go ahead and hit next. Oh, you did? So in this task, what we're asking you to",YouTube video I don't care about. What else? Poster Identification of Sex Specific DNA,Cataldo-etal_G27_Transcript,YouTube video I don't care about. What else? Poster Identification of Sex Specific DNA
S2,"Okay. Wikipedia is always trustworthy, credible because they also have sources and","Okay. So go ahead and hit next. Oh, you did? So in this task, what we're asking you to",Cataldo-etal_G27_Transcript,"Okay. So go ahead and hit next. Oh, you did? So in this task, what we're asking you to"
S1,"Okay, so talk about why you chose that one.","Okay. Wikipedia is always trustworthy, credible because they also have sources and",Cataldo-etal_G27_Transcript,"Okay. Wikipedia is always trustworthy, credible because they also have sources and"
S2,"Actually, I guess this isn't all that useful, but it has a joint species distributors model,","Okay, so talk about why you chose that one.",Cataldo-etal_G27_Transcript,"Okay, so talk about why you chose that one."
S1,"So we're just not really interested in if it's useful, but if you think it's true.","Actually, I guess this isn't all that useful, but it has a joint species distributors model,",Cataldo-etal_G27_Transcript,"Actually, I guess this isn't all that useful, but it has a joint species distributors model,"
S2,"Oh, if I think it's true? Well, okay. I guess in which case, everything that's on paper I","So we're just not really interested in if it's useful, but if you think it's true.",Cataldo-etal_G27_Transcript,"So we're just not really interested in if it's useful, but if you think it's true."
S1,"And can you talk just a little bit, just broadly, about why you're giving journals a four?","Oh, if I think it's true? Well, okay. I guess in which case, everything that's on paper I",Cataldo-etal_G27_Transcript,"Oh, if I think it's true? Well, okay. I guess in which case, everything that's on paper I"
S2,"Because journals are peer-reviewed, so generally other people have looked at this","And can you talk just a little bit, just broadly, about why you're giving journals a four?",Cataldo-etal_G27_Transcript,"And can you talk just a little bit, just broadly, about why you're giving journals a four?"
S1,Okay. So I think we're on our last task already. So what we're asking you to do here is,"Because journals are peer-reviewed, so generally other people have looked at this",Cataldo-etal_G27_Transcript,"Because journals are peer-reviewed, so generally other people have looked at this"
S2,"Okay. Well, Time.com is a magazine and since it's from a magazine, I would say it was",Okay. So I think we're on our last task already. So what we're asking you to do here is,Cataldo-etal_G27_Transcript,Okay. So I think we're on our last task already. So what we're asking you to do here is
S1,Can you talk about why you chose magazine?,"Okay. Well, Time.com is a magazine and since it's from a magazine, I would say it was",Cataldo-etal_G27_Transcript,"Okay. Well, Time.com is a magazine and since it's from a magazine, I would say it was"
S2,"Because I don't really have a high opinion on magazines, so I kind of just put them as",Can you talk about why you chose magazine?,Cataldo-etal_G27_Transcript,Can you talk about why you chose magazine?
S1,So go ahead and hit submit. You'll have a few more pages of these.,"Because I don't really have a high opinion on magazines, so I kind of just put them as",Cataldo-etal_G27_Transcript,"Because I don't really have a high opinion on magazines, so I kind of just put them as"
S2,Okay. So this is from journal.,So go ahead and hit submit. You'll have a few more pages of these.,Cataldo-etal_G27_Transcript,So go ahead and hit submit. You'll have a few more pages of these.
S1,"And as you tell me which one it is, just say, ""This is a journal because --"" and --",Okay. So this is from journal.,Cataldo-etal_G27_Transcript,Okay. So this is from journal.
S2,All right. So Building Realistic Assemblages with a Joint--,"And as you tell me which one it is, just say, ""This is a journal because --"" and --",Cataldo-etal_G27_Transcript,"And as you tell me which one it is, just say, ""This is a journal because --"" and --"
S1,Bless you. Do you need a tissue or anything?,All right. So Building Realistic Assemblages with a Joint--,Cataldo-etal_G27_Transcript,All right. So Building Realistic Assemblages with a Joint--
S2,"No. I'm good. Yeah, so this is an actual scientific paper. So it's basically from a journal.",Bless you. Do you need a tissue or anything?,Cataldo-etal_G27_Transcript,Bless you. Do you need a tissue or anything?
S1,And what made you think that?,"No. I'm good. Yeah, so this is an actual scientific paper. So it's basically from a journal.",Cataldo-etal_G27_Transcript,"No. I'm good. Yeah, so this is an actual scientific paper. So it's basically from a journal."
S2,"It has chapters instead of articles, so it's probably a book. Online Library Wiley",And what made you think that?,Cataldo-etal_G27_Transcript,And what made you think that?
S2,Commonly-Kept Snake Species and Husbandry. It sounds like it's -- it's definitely from,"It has chapters instead of articles, so it's probably a book. Online Library Wiley",Cataldo-etal_G27_Transcript,"It has chapters instead of articles, so it's probably a book. Online Library Wiley"
S1,Okay. And just hit finish. And you actually flew through that. So now I'm just going to,Commonly-Kept Snake Species and Husbandry. It sounds like it's -- it's definitely from,Cataldo-etal_G27_Transcript,Commonly-Kept Snake Species and Husbandry. It sounds like it's -- it's definitely from
S2,That was it?,Okay. And just hit finish. And you actually flew through that. So now I'm just going to,Cataldo-etal_G27_Transcript,Okay. And just hit finish. And you actually flew through that. So now I'm just going to
S1,"Yeah, that was it.. But I need you to fill out as much information on there as you can,",That was it?,Cataldo-etal_G27_Transcript,That was it?
S2,Third-year med student.,Okay. So you said you're a third-year med student.,Cataldo-etal_G28_Transcript,Okay. So you said you're a third-year med student.
S1,Okay. And have any of your parents or guardians received a bachelor's degree?,Third-year med student.,Cataldo-etal_G28_Transcript,Third-year med student.
